Topic Match Score,Title,Year,Authors,Abstract,Journal,Citation Count,Citation Velocity,DOI,Link,External IDs,Is Open Access,Open Access Link,Semantic Scholar ID,Relevance Summary
6.4,Automatic Conversational Helpdesk Solution using Seq2Seq and Slot-filling Models,2018,"Mayur Patidar, ..., and Gautam M. Shroff","Helpdesk is a key component of any large IT organization, where users can log a ticket about any issue they face related to IT infrastructure, administrative services, human resource services, etc. Normally, users have to assign appropriate set of labels to a ticket so that it could be routed to right domain expert who can help resolve the issue. In practice, the number of labels are very large and organized in form of a tree. It is non-trivial to describe the issue completely and attach appropriate labels unless one knows the cause of the problem and the related labels. Sometimes domain experts discuss the issue with the users and change the ticket labels accordingly, without modifying the ticket description. This results in inconsistent and badly labeled data, making it hard for supervised algorithms to learn from. In this paper, we propose a novel approach of creating a conversational helpdesk system, which will ask relevant questions to the user, for identification of the right category and will then raise a ticket on users' behalf. We use attention based seq2seq model to assign the hierarchical categories to tickets. We use a slot filling model to help us decide what questions to ask to the user, if the top-k model predictions are not consistent. We also present a novel approach to generate training data for the slot filling model automatically based on attention in the hierarchical classification model. We demonstrate via a simulated user that the proposed approach can give us a significant gain in accuracy on ticket-data without asking too many questions to users. Finally, we also show that our seq2seq model is as versatile as other approaches on publicly available datasets, as state of the art approaches.",Proceedings of the 27th ACM International Conference on Information and Knowledge Management,10,1.6,10.1145/3269206.3272029,https://doi.org/10.1145/3269206.3272029,"{'MAG': '2896818573', 'DBLP': 'conf/cikm/PatidarAVS18', 'DOI': '10.1145/3269206.3272029', 'CorpusId': 53035092}",False,,b057d645bef6ab000a6f708e1b4e452437b02b82,
6.1,AUTOMATION OF INCIDENT RESPONSE AND IT TICKET MANAGEMENT BY ML AND NLP MECHANISMS,,"M. Venkata Subbarao, ..., and CH. Suresh","In today’s digital world, Ticket Management Systems are widely utilized in various businesses and organizations since they are essential for efficiently resolving client requests and difficulties. Moreover, in real-world application contexts (e.g., technology support platforms and defect detection systems), properly labeling new requests is essential to improving ticket handling quality, grade and productivity. This research aims to discover the factors affecting customers’ online ticket purchasing behaviors and proposes an effective technique for systematic ticket categorization that effectively clusters and labels. Information technology (IT) tickets quickly using Machine Learning and Natural Language Processing techniques. The framework’s performance in numerous ticket categorization jobs has been indicated by experimental results based on a specific usage situation that involves data from ticket mining the ServiceNow platform and filtering a vast dataset, among other things. To develop a Machine Learning model that significantly predicts an incident resolution category with supervised ML algorithms. The models’ performance was estimated using various NLP techniques LDA with TF-IDF and 3 Gram, and stop-word removal and lemmatization produced the best results, with a precision of 96.46 percent.",Journal Not Provided,4,,,https://www.semanticscholar.org/paper/f0afca3327a8b60f77dbf6a64a297f3c61fa93af,{'CorpusId': 264403766},False,,f0afca3327a8b60f77dbf6a64a297f3c61fa93af,
6.0,Identification of IT Tickets and Bugs using Text-Supervised Pedagogical Approaches,2022,Asha Bajariya and Patel Jaiminee,"“The business sector addresses the issue of task management in a number of different methods, all of which include some kind of triaging mechanism to accurately allocate tickets to developers. For Web and SaaS organizations that manage enormous amounts of tickets in the form of exceptions, support requests, user-reported bugs, and crash reports, automation of this activity has proved difficult and has resulted in less accurate results. In this work, several Machine Learning and Deep Learning algorithms for predicting assignees for new tickets based on previous tickets are investigated and analyzed. Investigating the utility of different machine learning (ML) approaches as a means of correctly constructing mathematical models for forecasting bugs and tickets was the primary focus of the effort. The research emphasizes the significance of the variables Term Frequency Inverse Document Frequency (TF-IDF) and relevant data word rate in order to guarantee that high accuracy is achieved by the Text-Supervised models that are used. In this study, an investigation of Text Supervised Learning Methods, including random forest, decision tree, and additional tree, will be carried out. The goal is to classify IT tickets and bugs more accurately.”",2022 International Conference on Edge Computing and Applications (ICECAA),0,0.0,10.1109/ICECAA55415.2022.9936274,https://doi.org/10.1109/ICECAA55415.2022.9936274,"{'DOI': '10.1109/ICECAA55415.2022.9936274', 'CorpusId': 253423888}",False,,f743e8b3b82bddff9aa2063d77bef1c23d88023a,
5.9,Automated Assignment of Helpdesk Email Tickets: An AI Lifecycle Case Study,2020,"Shivali Agarwal, ..., and G. Sridhara","In this article, we present an end-to-end automated helpdesk email ticket assignment system driven by high accuracy, coverage, business continuity, scalability, and optimal usage of computational resources. The primary objective of the system is to determine the problem mentioned in an incoming email ticket and then automatically dispatch it to an appropriate resolver group with high accuracy. While meeting this objective, it should also meet the objective of being able to operate at desired accuracy levels in the face of changing business needs by automatically adapting to the changes. The proposed system uses a system of classifiers with separate strategies for handling frequent and sparse resolver groups augmented with a semiautomatic rule engine and retraining strategies to ensure that it is accurate, robust, and adaptive to changing business needs. Our system has been deployed in the production of six major service providers in diverse service domains and currently assigns 100,000 emails per month, on an average, with an accuracy close to ninety percent and covering at least ninety percent of email tickets. This translates to achieving human-level accuracy and results in a net savings of more than 50,000 man-hours of effort per annum. To date, our deployed system has already served more than two million tickets in production.",AI Mag.,4,0.9,10.1609/aimag.v41i3.5321,https://doi.org/10.1609/aimag.v41i3.5321,"{'DBLP': 'journals/aim/AgarwalBMRS20', 'MAG': '3087804748', 'DOI': '10.1609/aimag.v41i3.5321', 'CorpusId': 222179909}",True,"{'url': 'https://ojs.aaai.org/aimagazine/index.php/aimagazine/article/download/5321/7250', 'status': 'GREEN'}",9aa31e03a611f6a5c7963800bb523b0cdb6ea008,
5.6,Automatically Resolve Trouble Tickets with Hybrid NLP,2020,"Nicolas Ferland, ..., and Jieneng Yang","Application service providers manage huge and complicated infrastructures. Like any complicated systems, things could go wrong due to various reasons (e.g. network connection response problems, infrastructure resource limitations, software malfunctioning issues, etc.) from time to time. How to quickly resolve issues when they happen becomes critical to help improve customer satisfaction and retention. Recently, fast advancement of natural language processing (NLP) algorithms have helped solving many practical problems by analyzing text information. Powerful algorithms have been developed to interpret human language and derive predictions. Ensemble models are also well suited to further improve performances as they can further explore the latent space to take advantage of features/weights discovered from a group of trained models. In this paper, we will introduce efficient machine learning algorithms to help application service providers manage and automatically resolve trouble tickets to significantly improve user experience and operational efficiency. We propose a hybrid approach to use both unsupervised clustering approach and supervised deep learning embedding to maximize the feature exploration and learning efficacy. Then we ensemble multiple optimized models to build the recommendation engine. This approach helps to incorporate the most relevant information, explore the corpus better for a given problem, managed to produce more consistent and robust predictions, and obtained better accuracy than any single model.",2020 IEEE Symposium Series on Computational Intelligence (SSCI),5,1.2,10.1109/SSCI47803.2020.9308327,https://doi.org/10.1109/SSCI47803.2020.9308327,"{'DBLP': 'conf/ssci/FerlandSFYY20', 'DOI': '10.1109/SSCI47803.2020.9308327', 'CorpusId': 230999368}",False,,22c5c2759a0fce3d8a56f1eb7e2e51f200c4738a,
5.5,STAR: A System for Ticket Analysis and Resolution,2017,"Wubai Zhou, ..., and G. Grabarnik","In large scale and complex IT service environments, a problematic incident is logged as a ticket and contains the ticket summary (system status and problem description). The system administrators log the step-wise resolution description when such tickets are resolved. The repeating service events are most likely resolved by inferring similar historical tickets. With the availability of reasonably large ticket datasets, we can have an automated system to recommend the best matching resolution for a given ticket summary. In this paper, we first identify the challenges in real-world ticket analysis and develop an integrated framework to efficiently handle those challenges. The framework first quantifies the quality of ticket resolutions using a regression model built on carefully designed features. The tickets, along with their quality scores obtained from the resolution quality quantification, are then used to train a deep neural network ranking model that outputs the matching scores of ticket summary and resolution pairs. This ranking model allows us to leverage the resolution quality in historical tickets when recommending resolutions for an incoming incident ticket. In addition, the feature vectors derived from the deep neural ranking model can be effectively used in other ticket analysis tasks, such as ticket classification and clustering. The proposed framework is extensively evaluated with a large real-world dataset.",Proceedings of the 23rd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,38,5.1,10.1145/3097983.3098190,https://doi.org/10.1145/3097983.3098190,"{'MAG': '2743886523', 'DBLP': 'conf/kdd/ZhouXBWZLXLSG17', 'DOI': '10.1145/3097983.3098190', 'CorpusId': 33259804}",False,,9b4bcecf5134d70b8ff6036b9cfe57a3ff74bbd8,
5.3,Bilingual IT Service Desk Ticket Classification Using Language Model Pre-training Techniques,2021,No author found,"Language model pre-training techniques have been successfully applied to several natural language processing and text-mining tasks. However, existing published studies regarding automatic IT service desk ticket categorization were mostly conducted using the traditional bag-of-words (BoW) model and focused on the tickets that contain only one language. Therefore, this paper presents an examination of applying the state-of-the-art language model pre-training approaches to automatically determine the service category of bilingual IT service desk tickets, particularly for those tickets that contain Thai and/or English texts. Three well-known algorithms, mBERT, ULMFiT, and XLM-R, are investigated in this study using an in-house real-world dataset. Three Ensemble methods with bag-of-words text representation are used as performance evaluation baselines. According to our experimental results, language model pre-training techniques are superior to the BoW-based Ensemble methods for bilingual IT ticket categorization tasks. XLM-R gives the highest overall performance at 87.02% accuracy and 86.96% F1-score on the test dataset, followed by ULMFiT, mBERT and Ensemble methods, respectively",2021 16th International Joint Symposium on Artificial Intelligence and Natural Language Processing (iSAI-NLP),0,0.0,10.1109/iSAI-NLP54397.2021.9678179,https://doi.org/10.1109/iSAI-NLP54397.2021.9678179,"{'DOI': '10.1109/iSAI-NLP54397.2021.9678179', 'CorpusId': 246038101}",False,,c9b9c58caaab0ee03fd221bf59d4afa123316807,
5.2,A real-world case study for automated ticket team assignment using natural language processing and explainable models,2022,L. M. Pavelski and Rodrigo de Souza Braga,"In the context of software development, managing and organizing agile boards of multi-disciplinary teams distributed around the world is a great challenge, especially regarding the process of assigning tickets to the correct team roles. Incorrectly assigned tickets can result in significant resource waste in any project and directly influence delivery outcomes and project costs. This work proposes a method for ticket analysis and automatic team assignment using Natural Language Processing and explainable Machine Learning models. Results show that the models perform well on a real-world team assignment task and provide insights into their decision.",Proceedings of the 37th IEEE/ACM International Conference on Automated Software Engineering,0,0.0,10.1145/3551349.3561164,https://doi.org/10.1145/3551349.3561164,"{'DBLP': 'conf/kbse/PavelskiB22', 'DOI': '10.1145/3551349.3561164', 'CorpusId': 255441430}",True,"{'url': 'https://dl.acm.org/doi/pdf/10.1145/3551349.3561164', 'status': 'CLOSED'}",fccd2d1fa86ca3ed2491b85bf23a7079517627f1,
5.1,How Machine Learning is Improving U.S. Navy Customer Support,2020,"Michael Powell, ..., and K. O'Malley","The U.S. Navy is successfully using natural language processing (NLP) and common machine-learning (ML) algorithms to categorize and automatically route plain text support requests at a Navy fleet support center. The algorithms enhance routine IT support tasks with automation and reduce the workload of service desk agents. The ML pipeline works in a five-step process. First, an archive of documents is created from various sources, including standard operating procedure (SOP) memos, frequently asked questions (FAQs), knowledge articles, Wikipedia articles, encyclopedia articles, previously closed support requests, and other relevant documents. Next, a library of words and phrases is generated from the archive. Then, this library is used to vectorize an incoming support request, producing a term frequency inverse document frequency (TF-IDF) vector. Following, the TF-IDF vector is used to compute similarity scores between the support request and the documents in the previously-created archive. Finally, the similarity scores are processed by support vector machine (SVM) classifiers to categorize and route the incoming support request to the correct support provider. This algorithm was deployed at a U.S. Navy customer support center as part of a pilot study, where it decreased the amount of time agents spend on tickets by 35%; the amount of time required to assign tickets by 74%; and the amount of time to close tickets by 60%. Our internal tests show that, with an error rate of 2%, a 35% reduction in ticket volume could be achieved by fully deploying these algorithms.",AAAI Conference on Artificial Intelligence,7,1.5,10.1609/aaai.v34i08.7023,https://doi.org/10.1609/aaai.v34i08.7023,"{'DBLP': 'conf/aaai/PowellRO20', 'MAG': '3038104460', 'DOI': '10.1609/aaai.v34i08.7023', 'CorpusId': 219301270}",True,"{'url': 'https://ojs.aaai.org/index.php/AAAI/article/download/7023/6877', 'status': 'GOLD'}",f8967d21b2e101b254eb0064e944b987fba1cc66,
5.0,Sentiment Classification in Customer Service Dialogue with Topic-Aware Multi-Task Learning,2020,"Jiancheng Wang, ..., and Guodong Zhou","Sentiment analysis in dialogues plays a critical role in dialogue data analysis. However, previous studies on sentiment classification in dialogues largely ignore topic information, which is important for capturing overall information in some types of dialogues. In this study, we focus on the sentiment classification task in an important type of dialogue, namely customer service dialogue, and propose a novel approach which captures overall information to enhance the classification performance. Specifically, we propose a topic-aware multi-task learning (TML) approach which learns topic-enriched utterance representations in customer service dialogue by capturing various kinds of topic information. In the experiment, we propose a large-scale and high-quality annotated corpus for the sentiment classification task in customer service dialogue and empirical studies on the proposed corpus show that our approach significantly outperforms several strong baselines.",AAAI Conference on Artificial Intelligence,36,7.5,10.1609/AAAI.V34I05.6454,https://doi.org/10.1609/AAAI.V34I05.6454,"{'DBLP': 'conf/aaai/WangWSLLSZZ20', 'MAG': '2997793532', 'DOI': '10.1609/AAAI.V34I05.6454', 'CorpusId': 214331221}",True,"{'url': 'https://ojs.aaai.org/index.php/AAAI/article/download/6454/6310', 'status': 'GOLD'}",b8eeccefea0bcc9fac440d4340d45c59df11d11a,
5.0,Improving IT Support Efficiency Using AI-Driven Ticket Random Forest Classification Technique,2023,Nathaniel Crosley and Ito Wasito,"This research project aims to improve IT support efficiency at Indonesian company XYZ by using AI-based IT support ticket classification integration. This method involved collecting over 1,000 support tickets from the company's IT ticketing system, GLPI, and pre-processing the data to ensure the quality and relevance of the data for analysis. Claims data is enriched with relevant features, including textual information and categorical attributes such as urgency, impact, and requirement expertise. To improve the ticket preference matrix, AI-based language models, especially OpenAI's GPT-3, are used. These templates help to reclassify and improve the work of IT support teams. In addition, the ticket data is used to train the Random Forest classifier, allowing automatic classification of tickets based on their specific characteristics. The performance of the ticket classification system is evaluated using a variety of metrics, and the results are compared with alternative methods to assess effectiveness. of the Random Forest algorithm. This evaluation demonstrates the system's ability to correctly classify and prioritize incoming tickets. The successful implementation of this project at Company XYZ is a model for other organizations looking to optimize their IT support through AI-driven approaches. By providing simplified ticket classification and admission ticket reclassification based on AI algorithms, this research helps leverage AI technologies to improve IT support processes. Ultimately, the proposed solution benefits both support providers and users by improving efficiency, response times, and overall customer satisfaction.",sinkron,0,0.0,10.33395/sinkron.v8i4.12925,https://doi.org/10.33395/sinkron.v8i4.12925,"{'DOI': '10.33395/sinkron.v8i4.12925', 'CorpusId': 263618256}",True,"{'url': 'https://jurnal.polgan.ac.id/index.php/sinkron/article/download/12925/1989', 'status': 'HYBRID'}",333f941626fd2f0a861d8d6cf96af7733ea814cb,
4.7,Recommending resolutions of ITIL services tickets using Deep Neural Network,2017,"Durga Prasad Muni, ..., and Navin Budhiraja","Application development and maintenance is a good example of Information Technology Infrastructure Library (ITIL) services in which a sizable volume of tickets are raised everyday for different issues to be resolved in order to deliver uninterrupted service. An issue is captured as summary on the ticket and once a ticket is resolved, the solution is also noted down on the ticket as resolution. It will be beneficial to automatically extract information from the description of tickets to improve operations like identifying critical and frequent issues, grouping of tickets based on textual content, suggesting remedial measures for them etc. In particular, the maintenance people can save a lot of effort and time if they have access to past remedial actions for similar kind of tickets raised earlier based on history data. In this work we propose an automated method based on deep neural networks for recommending resolutions for incoming tickets. We use ideas from deep structured semantic models (DSSM) for web search for such resolution recovery. We project a small subset of existing tickets in pairs and an incoming ticket to a low dimensional feature space, following which we compute the similarity of an existing ticket with the new ticket. We select the pair of tickets which has the maximum similarity with the incoming ticket and publish both of its resolutions as the suggested resolutions for the latter ticket. The experiment of our data sets shows that we are able to achieve a promising similarity match of about 70% - 90% between the suggestions and the actual resolution.",Proceedings of the 4th ACM IKDD Conferences on Data Sciences,7,0.9,10.1145/3041823.3041831,https://doi.org/10.1145/3041823.3041831,"{'MAG': '2751592858', 'DBLP': 'conf/cods/MuniRCVB17', 'DOI': '10.1145/3041823.3041831', 'CorpusId': 26098170}",False,,3ea638dc093fcd8a9b62049145e6868740d0f88b,
4.7,Automatic Thai Ticket Classification By Using Machine Learning For IT Infrastructure Company,2022,Kraidet Khowongprasoed and Taravichet Titijaroonroj,"Ticket classification is a process to define the category name of each ticket before assigning the resolution team to serve each ticket. It is an important process to support the customers inside and outside the company. It can make customer dissatisfaction if the processing time is high or delayed. Based on the recording data in 2019-2021 at the studying company, we found that the manual ticket classification got an error rate about 53 percent because the office workers misunderstand. To alleviate this problem, we propose the methodology for automatic Thai ticket classification by using Term Frequency-Inverse Document Frequency with Support Vector Machine. The experimental result shows that the performance of the proposed methodology is higher than the manual classification by 2 times or 41 percent.",2022 19th International Joint Conference on Computer Science and Software Engineering (JCSSE),3,1.2,10.1109/jcsse54890.2022.9836250,https://doi.org/10.1109/jcsse54890.2022.9836250,"{'DBLP': 'conf/jcsse/KhowongprasoedT22', 'DOI': '10.1109/jcsse54890.2022.9836250', 'CorpusId': 251166259}",False,,06f1a15cd8ab3e3e8b0168ba13836880b537579e,
4.5,SSR-TA: Sequence to Sequence based expert recurrent recommendation for ticket automation,2023,"Chenhan Cao, ..., and Bin Xia","The ticket automation provides crucial support for the normal operation of IT software systems. An essential task of ticket automation is to assign experts to solve upcoming tickets. However, facing thousands of tickets, inappropriate assignments will make tickets transfer frequently among experts, which causes time delays and wasted resources. Effectively and efficiently finding an appropriate expert in fewer steps is vital to ticket automation. In this paper, we proposed a sequence to sequence based translation model combined with a recurrent recommendation network to recommend appropriate experts for tickets. The sequence to sequence model transforms the ticket description into the corresponding resolution for capturing the potential and useful features of representing tickets. The recurrent recommendation network recommends the appropriate expert based on the assumption that the previous expert in the recommendation sequence cannot solve the expert. To evaluate the performance, we conducted experiments to compare several baselines with SSR-TA on two real-world datasets, and the experimental results show that our proposed model outperforms the baselines. The comparative experiment results also show that SSR-TA has a better performance of expert recommendations for user-generated tickets.",ArXiv,0,0.0,10.48550/arXiv.2301.12612,https://doi.org/10.48550/arXiv.2301.12612,"{'DBLP': 'journals/corr/abs-2301-12612', 'ArXiv': '2301.12612', 'DOI': '10.48550/arXiv.2301.12612', 'CorpusId': 256389367}",True,"{'url': 'http://arxiv.org/pdf/2301.12612', 'status': 'CLOSED'}",b4bc3cbb928d8362fdeaba95bd50a19a052709e8,
4.4,Replicated Siamese LSTM in Ticketing System for Similarity Learning and Retrieval in Asymmetric Texts,2018,"Pankaj Gupta, ..., and Hinrich Schütze","The goal of our industrial ticketing system is to retrieve a relevant solution for an input query, by matching with historical tickets stored in knowledge base. A query is comprised of subject and description, while a historical ticket consists of subject, description and solution. To retrieve a relevant solution, we use textual similarity paradigm to learn similarity in the query and historical tickets. The task is challenging due to significant term mismatch in the query and ticket pairs of asymmetric lengths, where subject is a short text but description and solution are multi-sentence texts. We present a novel Replicated Siamese LSTM model to learn similarity in asymmetric text pairs, that gives 22% and 7% gain (Accuracy@10) for retrieval task, respectively over unsupervised and supervised baselines. We also show that the topic and distributed semantic features for short and long texts improved both similarity learning and retrieval.",ArXiv,10,1.5,,https://www.semanticscholar.org/paper/ad8aef665a43f16606f3e7ec86122243232f4b79,"{'DBLP': 'journals/corr/abs-1807-02854', 'MAG': '2978365890', 'ACL': 'W18-4001', 'ArXiv': '1807.02854', 'CorpusId': 49657219}",False,,ad8aef665a43f16606f3e7ec86122243232f4b79,
4.3,Augmenting Customer Support with an NLP-based Receptionist,2021,A. Barbosa and Alan Godoy,"In this paper, we show how a Portuguese BERT model can be combined with structured data in order to deploy a chatbot based on a finite state machine to create a conversational AI system that helps a real-estate company to predict its client's contact motivation. The model achieves human level results in a dataset that containts 235 unbalanced labels. Then, we also show its benefits considering the business impact comparing it against classical NLP methods.",ArXiv,2,0.6,10.5753/stil.2021.17792,https://doi.org/10.5753/stil.2021.17792,"{'ArXiv': '2112.01959', 'DBLP': 'journals/corr/abs-2112-01959', 'DOI': '10.5753/stil.2021.17792', 'CorpusId': 244896204}",True,"{'url': 'https://sol.sbc.org.br/index.php/stil/article/download/17792/17626', 'status': 'BRONZE'}",a74f75694757460c12dfbda7ee0eb6e80c2d9db6,
4.3,Ticket Tagger: Machine Learning Driven Issue Classification,2019,"Rafael Kallis, ..., and Sebastiano Panichella","Software maintenance is crucial for software projects evolution and success: code should be kept up-to-date and error-free, this with little effort and continuous updates for the end-users. In this context, issue trackers are essential tools for creating, managing and addressing the several (often hundreds of) issues that occur in software systems. A critical aspect for handling and prioritizing issues involves the assignment of labels to them (e.g., for projects hosted on GitHub), in order to determine the type (e.g., bug report, feature request and so on) of each specific issue. Although this labeling process has a positive impact on the effectiveness of issue processing, the current labeling mechanism is scarcely used on GitHub. In this demo, we introduce a tool, called Ticket Tagger, which leverages machine learning strategies on issue titles and descriptions for automatically labeling GitHub issues. Ticket Tagger automatically predicts the labels to assign to issues, with the aim of stimulating the use of labeling mechanisms in software projects, this to facilitate the issue management and prioritization processes. Along with the presentation of the tool's architecture and usage, we also evaluate its effectiveness in performing the issue labeling/classification process, which is critical to help maintainers to keep control of their workloads by focusing on the most critical issue tickets.",2019 IEEE International Conference on Software Maintenance and Evolution (ICSME),83,15.3,10.1109/ICSME.2019.00070,https://doi.org/10.1109/ICSME.2019.00070,"{'DBLP': 'conf/icsm/KallisSCP19', 'MAG': '2993452100', 'DOI': '10.1109/ICSME.2019.00070', 'CorpusId': 208879539}",False,,4c149c54b5b81aac546a7095a76fd903ceeec5b1,
4.0,MULTILINGUAL CUSTOMER SUPPORT USING GENERATIVE AI,,"Payal Dayanand, ..., and Lehari",": Modern multilingual customer care systems are in high demand due to the world's growing interconnectedness. This study examines how generative artificial intelligence (generative AI) can be used to solve the problems associated with delivering smooth and efficient customer support in a variety of linguistic environments. Our suggested system intends to transform consumer interactions by integrating advanced language models, such as contextual understanding and translation capabilities. This paper explains the architectural details of our all-inclusive multilingual assistance system and provides an overview of its features, advantages, and practical uses. The study sheds light on the paradigm shift in the dynamics of customer assistance and highlights the contribution of generative AI to the development of a service environment that is both linguistically inclusive and responsive to global needs .",Journal Not Provided,0,0,,https://www.semanticscholar.org/paper/f6dcaa0a0236d0320d76b0cfe27b8fe8cef7f5f0,{'CorpusId': 270555572},False,,f6dcaa0a0236d0320d76b0cfe27b8fe8cef7f5f0,
4.0,Analyzing HPC Support Tickets: Experience and Recommendations,2020,Alexandra DeLucia and Elisabeth Moore,"High performance computing (HPC) user support teams are the first line of defense against large-scale problems, as they are often the first to learn of problems reported by users. Developing tools to better assist support teams in solving user problems and tracking issue trends is critical for maintaining system health. Our work examines the Los Alamos National Laboratory HPC Consult Team's user support ticketing system and develops proof of concept tools to automate tasks such as category assignment and similar ticket recommendation. We also generate new categories for reporting and discuss ideas to improve future ticketing systems.",ArXiv,5,1.2,,https://www.semanticscholar.org/paper/e7ba481e4fa6b969c43edbf2d2ca38bd12d30e1b,"{'MAG': '3091855964', 'DBLP': 'journals/corr/abs-2010-04321', 'ArXiv': '2010.04321', 'CorpusId': 222272442}",False,,e7ba481e4fa6b969c43edbf2d2ca38bd12d30e1b,
4.0,Analysis of duplicate issue reports for issue tracking system,2011,"Hongying Gu, ..., and Chang Shu","Issue tracking is a core part of the software development process. For open source projects, the number of duplicate reports represents a significant percentage of the repository, numbering in the thousands of reports for popular projects. In this paper, we introduce an approach to suggest potential duplicate issue reports to the issue reporter who is submitting a new report. We have evaluated the accuracy of our approach analytically against the Firefox, Eclipse platform, Apache and Mylyn projects, achieving a range of 66%–100% recall rate on reports from the four projects issue repositories. The recall rates are similar to others reported but we remove restrictions or constraints on previous approaches. With the promising recall rate, we are looking at the possibility to integrating this approach with commercial issue tracking software and ticketing systems. The initial implementation shows that its use reduces the duplicate issue reports and therefore improves the efficiency to process the unique and important issues.",The 3rd International Conference on Data Mining and Intelligent Information Technology Applications,5,0.4,,https://www.semanticscholar.org/paper/804bc855e7ea4faeb7c20a86a5efae8496df4b94,"{'MAG': '2110443958', 'CorpusId': 19034012}",False,,804bc855e7ea4faeb7c20a86a5efae8496df4b94,
3.9,Building Intelligent Service Desk Systems using AI,2019,P. ParameshS. and S. ShreedharaK,"Service desk system helps the users of the organization to raise the problem tickets by selecting the appropriate problem category and to obtain the solution to user problems. Manual selection of ticket category may result in dispatching the tickets to incorrect resolution group. Incorrect assignment of service desk tickets in turn results in reassignment of tickets, resolution time delay and greatly affects the business. The current service desk system does not handle the user’s unstructured ticket data efficiently. So artificial intelligence concepts like machine learning and natural language processing can be applied to automate the existing service desk systems. In this research paper, we developed an automated service desk ticket classifier model that automatically categorizes the incoming ticket by analyzing the unstructured natural language ticket description entered by the end user. Supervised machine learning techniques like Decision trees and Naive Bayes models are used to build the service desk ticket classifier system. Ensemble models are also used to analyze the performance of ticket classifier. Ensemble of decision trees, naive bayes and Random Forest classifiers are used as a part of ensemble classifier techniques. The performance of service desk ticket classifier models is evaluated on a real world IT infrastructure ticket dataset and compared using various performance metrics. Ensemble based Random Forest classifier performed well when compared to all other considered models. The proposed model for the auto categorization service desk tickets results in simplified user interface, faster ticket resolution, efficient resource utilization and improved growth in business.",Journal Not Provided,2,0.4,,https://www.semanticscholar.org/paper/cda6735fc9895c79157ef987848e85b9fcdd8ab1,"{'MAG': '2973138359', 'CorpusId': 203147276}",False,,cda6735fc9895c79157ef987848e85b9fcdd8ab1,
3.8,Improving Support Ticket Systems Using Machine Learning: A Literature Review,2022,"Simon Fuchs, ..., and Holger Wittges","Processing customer support requests via a support ticket system is a key-element for companies to provide support to their customers in an organized and professional way. However, distributing and processing such tickets is much work, increasing the cost for the support providing company and stretching the resolution time. The advancing potential of Machine Learning has led to the goal of automating those support ticket systems. Against this background, we conducted a Literature Review aiming at determining the present state-of-the-art technology in the field of automated support ticket systems. We provide an overview about present trends and topics discussed in this field. During the Literature Review, we found creating an automated incident management tool being the majority topic in the field followed by request escalation and customer sentiment prediction and identified Random Forrest and Support Vector Machine as best performing algorithms for classification in the field.",Hawaii International Conference on System Sciences,7,2.3,10.24251/hicss.2022.238,https://doi.org/10.24251/hicss.2022.238,"{'DBLP': 'conf/hicss/FuchsDW22', 'DOI': '10.24251/hicss.2022.238', 'CorpusId': 248671782}",True,"{'url': 'https://scholarspace.manoa.hawaii.edu/bitstreams/2e8bf15b-226d-4dbf-bd99-d1249bd1e752/download', 'status': 'GREEN'}",cb04df48d795d5e2c388c869ca34fc7cbb564c00,
3.7,Language Models are Unsupervised Multitask Learners,2019,"Alec Radford, ..., and I. Sutskever","Natural language processing tasks, such as question answering, machine translation, reading comprehension, and summarization, are typically approached with supervised learning on taskspecific datasets. We demonstrate that language models begin to learn these tasks without any explicit supervision when trained on a new dataset of millions of webpages called WebText. When conditioned on a document plus questions, the answers generated by the language model reach 55 F1 on the CoQA dataset matching or exceeding the performance of 3 out of 4 baseline systems without using the 127,000+ training examples. The capacity of the language model is essential to the success of zero-shot task transfer and increasing it improves performance in a log-linear fashion across tasks. Our largest model, GPT-2, is a 1.5B parameter Transformer that achieves state of the art results on 7 out of 8 tested language modeling datasets in a zero-shot setting but still underfits WebText. Samples from the model reflect these improvements and contain coherent paragraphs of text. These findings suggest a promising path towards building language processing systems which learn to perform tasks from their naturally occurring demonstrations.",Journal Not Provided,20146,3317.6,,https://www.semanticscholar.org/paper/9405cc0d6169988371b2755e573cc28650d14dfe,"{'MAG': '2955855238', 'CorpusId': 160025533}",False,,9405cc0d6169988371b2755e573cc28650d14dfe,
3.6,Science,2018,"C. Chatterjee, ..., and J. Wasserstrom","Understanding customer feedback is becoming a necessity for companies to identify problems and improve their products and services. Text classification and sentiment analysis can play a major role in analyzing this data by using a variety of machine and deep learning approaches. In this work, different transformer-based models are utilized to explore how efficient these models are when working with a German customer feedback dataset. In addition, these pre-trained models are further analyzed to determine if adapting them to a specific domain using unlabeled data can yield better results than off-the-shelf pre-trained models. To evaluate the models, two downstream tasks from the GermEval 2017 are considered. The experi-mental results show that transformer-based models can reach significant improvements compared to a fastText baseline and outperform the published scores and previous models. For the subtask Relevance Classification , the best models achieve a micro-averaged F 1-Score of 96.1 % on the first test set and 95.9 % on the second one, and a score of 85.1 % and 85.3 % for the subtask Polarity Classification .",The 20th Century,0,0.0,10.4324/9780429496899-16,https://doi.org/10.4324/9780429496899-16,"{'DOI': '10.4324/9780429496899-16', 'CorpusId': 240007623}",False,,9d174b22995246858ee8d23372e1c5d11d10e053,
